,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
758,Stefan Ortega Moreno,GK,Man City,3.0,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,36,0,85195,0,0,0,0.0,0,-11246,904,12150,52,False,0
759,Renato Palma Veiga,MID,Chelsea,0.0,0,0,0,0,0.0,184,0.0,0.0,0.0,0.0,356,0,0,0.0,0.0,2025-05-11T11:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,36,0,12873,0,0,2,0.0,0,-55,0,55,44,False,0
760,Eberechi Eze,MID,Crystal Palace,7.0,0,3,52,1,28.9,199,0.2,1.36,1.16,0.68,359,0,2,13.8,70.4,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,1486489,1,2,0,39.0,16,53409,98695,45286,69,False,0
761,Samuel Iling-Junior,MID,Aston Villa,0.0,0,0,0,0,0.0,41,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,36,0,2228,0,1,0,0.0,0,-1,0,1,54,False,0
762,Boubacar Kamara,MID,Aston Villa,2.5,0,0,2,1,1.3,42,0.01,0.42,0.41,0.8,351,0,0,2.4,5.0,2025-05-10T16:30:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,36,0,4499,1,1,0,18.0,3,116,247,131,50,False,0
763,Ali Al-Hamadi,FWD,Ipswich,0.0,0,0,0,0,0.0,260,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,36,0,24433,0,1,0,0.0,0,-127,0,127,47,True,0
764,Willy Boly,DEF,Nott'm Forest,1.0,0,0,0,0,0.0,425,0.0,0.0,0.0,0.0,357,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,13067,0,2,2,0.0,0,-44,49,93,42,True,0
765,Carlos Alcaraz Durán,MID,Everton,2.8,1,0,19,0,24.3,450,0.03,0.15,0.12,0.66,352,1,0,7.3,26.2,2025-05-10T14:00:00Z,83,0,0,0,0,0,0,0,False,9,0,0,0,0,36,0,5985,1,3,1,22.0,5,113,430,317,47,False,0
766,Victor Lindelöf,DEF,Man Utd,1.2,0,0,0,0,1.4,376,0.01,0.01,0.0,0.64,355,1,0,1.0,6.6,2025-05-11T13:15:00Z,38,0,0,0,0,0,0,0,False,19,0,0,0,0,36,0,8733,0,2,0,2.0,1,99,187,88,43,True,0
767,Samuel Amissah,DEF,Fulham,0.0,0,0,0,0,0.0,690,0.0,0.0,0.0,0.0,352,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,36,0,2912,0,3,1,0.0,0,5,63,58,40,True,0
768,Ross Barkley,MID,Aston Villa,0.5,0,0,0,0,0.0,29,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,36,0,25565,0,1,0,0.0,0,34,103,69,52,False,0
769,Elyh Harrison,GK,Man Utd,0.0,0,0,0,0,0.0,761,0.0,0.0,0.0,0.0,355,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,36,0,706,0,2,0,0.0,0,6,24,18,40,True,0
770,James McConnell,MID,Liverpool,0.0,0,0,0,0,0.0,330,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,36,0,6950,0,2,2,0.0,0,362,508,146,43,True,0
771,Kobbie Mainoo,MID,Man Utd,1.8,0,0,13,0,8.0,378,0.09,0.26,0.17,1.56,355,2,0,2.3,7.0,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,36,0,200597,1,2,0,8.0,2,158,714,556,52,True,0
772,Ramón Sosa,MID,Nott'm Forest,1.8,0,0,0,0,0.0,620,0.0,0.0,0.0,0.0,357,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,6826,0,2,2,0.0,0,28,116,88,55,True,0
773,Sander Berge,MID,Fulham,1.2,0,0,11,0,13.9,622,0.02,0.02,0.0,1.03,352,3,0,1.8,4.4,2025-05-10T14:00:00Z,82,0,0,0,0,0,0,0,False,8,0,0,0,0,36,0,2889,1,3,1,0.0,1,-4,80,84,50,True,1
