,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
568,Hwang Ui-jo,FWD,Nott'm Forest,0.0,0,0,0,0,0.0,446,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2024-12-07T17:30:00Z,0,False,14,0,0,0,0,15,0,134514,0,3,2,0.0,0,-4755,0,4755,45,False,0
569,Jakub Stolarczyk,GK,Leicester,0.0,0,0,0,0,0.0,304,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,5,0,0,0,0,15,0,4333,0,2,2,0.0,0,-83,46,129,40,True,0
570,Lloyd Kelly,DEF,Newcastle,0.0,0,0,0,0,0.0,404,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,4,0,0,0,0,15,0,13021,0,2,4,0.0,0,-216,217,433,43,False,0
571,Mateus Gonçalo Espanha Fernandes,MID,Southampton,2.7,0,0,11,0,11.3,623,0.07,0.14,0.07,2.29,141,1,0,2.3,4.2,2024-12-07T15:00:00Z,90,False,2,0,0,0,0,15,0,4506,1,0,1,7.0,2,11,904,893,50,False,0
572,Valentín Barco,DEF,Brighton,0.0,0,0,0,0,0.0,116,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,11,0,0,0,0,15,0,337313,0,2,2,0.0,0,-14089,0,14089,40,False,0
573,Dean Huijsen,DEF,Bournemouth,4.8,0,0,12,0,13.0,580,0.03,0.03,0.0,1.32,146,1,0,3.6,23.2,2024-12-08T14:00:00Z,90,False,10,0,0,0,0,15,0,35539,1,2,1,0.0,2,22918,23496,578,43,False,0
574,Carlos Roberto Forbs Borges,MID,Wolves,0.2,0,0,0,0,0.0,655,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2024-12-09T20:00:00Z,0,False,19,0,0,0,0,15,0,2654,0,1,2,0.0,0,-97,82,179,55,False,0
575,André Trindade da Costa Neto,MID,Wolves,2.0,0,0,11,0,11.1,642,0.02,0.02,0.0,0.87,150,1,0,1.7,6.2,2024-12-09T20:00:00Z,61,False,19,0,0,0,0,15,0,2516,1,1,2,0.0,2,-46,141,187,50,False,0
576,Max Aarons,DEF,Bournemouth,0.2,0,0,0,0,0.0,59,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,10,0,0,0,0,15,0,18690,0,2,1,0.0,0,-5,460,465,43,False,0
577,Michail Antonio,FWD,West Ham,1.2,0,0,0,0,0.0,512,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2024-12-09T20:00:00Z,0,False,20,0,0,0,0,15,0,216084,0,1,2,0.0,0,-9172,9926,19098,54,True,0
578,Ibrahim Osman,MID,Brighton,0.0,0,0,0,0,0.0,127,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,11,0,0,0,0,15,0,401,0,2,2,0.0,0,-4,0,4,50,False,0
579,Lewis Miley,MID,Newcastle,0.0,0,0,0,0,0.0,411,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,4,0,0,0,0,15,0,927,0,2,4,0.0,0,-16,68,84,50,False,0
580,Nathan Wood-Gordon,DEF,Southampton,-0.3,0,0,12,0,1.5,477,0.01,0.01,0.0,2.29,141,1,0,2.8,26.4,2024-12-07T15:00:00Z,90,False,2,0,0,0,0,15,0,144307,1,0,1,0.0,1,-2106,1067,3173,40,False,1
581,Rodrigo Muniz Carvalho,FWD,Fulham,0.2,0,0,5,0,0.0,251,0.0,0.0,0.0,0.0,145,0,0,0.1,1.0,2024-12-08T14:00:00Z,11,False,1,0,0,0,0,15,0,166510,0,1,1,0.0,1,-5472,1157,6629,55,True,0
582,Benjamin White,DEF,Arsenal,0.0,0,0,0,0,0.0,24,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,9,0,0,0,0,15,0,288766,0,1,1,0.0,0,-16429,90,16519,61,False,0
583,Cameron Burgess,DEF,Ipswich,2.0,1,0,16,0,20.9,263,0.13,0.16,0.03,3.28,146,2,0,7.3,44.4,2024-12-08T14:00:00Z,90,False,3,0,0,0,0,15,0,256865,1,2,1,8.0,4,-4495,5975,10470,40,True,0
584,Abdul Fatawu,MID,Leicester,0.0,0,0,0,0,0.0,570,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,5,0,0,0,0,15,0,24546,0,2,2,0.0,0,-1451,21,1472,52,True,0
585,Neco Williams,DEF,Nott'm Forest,1.8,0,0,0,0,0.6,437,0.0,0.02,0.02,1.6,148,2,0,2.4,21.2,2024-12-07T17:30:00Z,90,False,14,0,0,0,0,15,0,44035,1,3,2,2.0,0,-687,1223,1910,43,False,1
586,Roméo Lavia,MID,Chelsea,0.8,0,0,9,0,13.5,174,0.01,0.01,0.0,1.47,149,2,0,2.5,11.8,2024-12-08T16:30:00Z,45,False,18,0,0,0,0,15,0,100610,1,4,3,0.0,0,-1112,7046,8158,45,False,1
587,Leon Bailey,MID,Aston Villa,2.0,0,0,5,0,3.4,28,0.2,0.2,0.0,0.24,141,0,0,0.9,0.0,2024-12-07T15:00:00Z,58,False,17,0,0,0,0,15,0,104675,1,0,1,6.0,1,545,4794,4249,62,True,0
588,Niclas Füllkrug,FWD,West Ham,1.5,0,0,0,0,0.0,589,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2024-12-09T20:00:00Z,0,False,20,0,0,0,0,15,0,94803,0,1,2,0.0,0,3182,4091,909,67,True,0
589,Harvey Barnes,MID,Newcastle,2.8,0,0,26,0,16.0,392,0.3,0.47,0.17,0.57,142,3,1,7.7,32.0,2024-12-07T15:00:00Z,72,False,4,0,0,0,0,15,0,215715,1,2,4,29.0,7,-23272,4844,28116,62,False,0
590,Brennan Johnson,MID,Spurs,5.5,1,0,21,0,14.6,491,0.16,0.16,0.0,1.02,149,1,0,4.6,27.4,2024-12-08T16:30:00Z,52,False,6,0,0,0,0,15,0,993916,1,4,3,4.0,4,-73040,37945,110985,67,True,0
591,Andrew Moran,MID,Brighton,0.0,0,0,0,0,0.0,601,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,11,0,0,0,0,15,0,307,0,2,2,0.0,0,-2,0,2,50,False,0
592,Harry Maguire,DEF,Man Utd,0.5,0,0,9,0,10.5,377,0.01,0.01,0.0,0.0,148,0,0,1.8,7.2,2024-12-07T17:30:00Z,25,False,16,0,0,0,0,15,0,45753,0,3,2,0.0,1,680,1215,535,49,True,0
593,Mark Travers,GK,Bournemouth,0.0,0,0,0,0,0.0,84,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,10,0,0,0,0,15,0,16945,0,2,1,0.0,0,-252,469,721,44,False,0
594,Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,471,0.0,0.0,0.0,0.0,141,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,2,0,0,0,0,15,0,2405,0,0,1,0.0,0,-37,24,61,50,False,0
